expression,num_instances,feasible_rate,avg_objective,avg_cost,avg_distance,avg_late_penalty,avg_spoil_penalty,avg_late_customers,avg_spoil_customers,avg_num_routes,avg_runtime_sec,complexity,behavior_signature,is_novel,mo_score,round_idx
travel_to_c,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.024086393159011316,4,"(355783.5, 8.24, 1.0, 15691.34, 338798.79, 0)",True,0.4,0
20 * est_spoil + travel_to_c + 2 * est_lateness - 0.5 * instance['demands'][c],29,1.0,415988.92413793097,415988.92413793097,1489.2413793103449,35207.66896551724,379292.0137931034,4.827586206896552,17.17241379310345,8.310344827586206,0.048425016732051455,49,"(415988.92, 8.31, 1.0, 35207.67, 379292.01, 9)",True,0.8495610813141248,0
5 * est_spoil + travel_to_c,29,1.0,451089.01379310346,451089.01379310346,1411.8275862068965,38642.20689655172,411034.97931034485,4.0,17.03448275862069,8.275862068965518,0.030111592391441608,15,"(451089.01, 8.28, 1.0, 38642.21, 411034.98, 3)",True,0.889350770354906,0
20 * est_spoil + travel_to_c + 2 * est_lateness,29,1.0,456127.33103448275,456127.33103448275,1422.1724137931035,37913.02068965517,416792.1379310345,3.8620689655172415,16.620689655172413,8.241379310344827,0.03425433717924973,26,"(456127.33, 8.24, 1.0, 37913.02, 416792.14, 5)",True,0.8878819796009463,0
travel_to_c,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.023550239102593785,4,"(355783.5, 8.24, 1.0, 15691.34, 338798.79, 0)",False,0.4,1
5 * est_spoil + travel_to_c - 0.3 * instance['demands'][c] + 0.02 * remaining,29,1.0,388373.66896551725,388373.66896551725,1443.1724137931035,27959.034482758623,358971.46206896554,6.103448275862069,17.862068965517242,8.275862068965518,0.04815475694064436,49,"(388373.67, 8.28, 1.0, 27959.03, 358971.46, 9)",True,0.663160253088365,1
20 * est_spoil + travel_to_c + est_lateness - 0.6 * instance['demands'][c],29,1.0,401082.66896551725,401082.66896551725,1473.4137931034484,31345.903448275858,368263.35172413796,5.724137931034483,17.689655172413794,8.275862068965518,0.04646495292926657,44,"(401082.67, 8.28, 1.0, 31345.9, 368263.35, 8)",True,0.7248895143759652,1
20 * est_spoil + travel_to_c / (1 + instance['demands'][c]) + 2 * est_lateness,29,1.0,407111.25517241383,407111.25517241383,1512.5862068965516,30664.303448275867,374934.36551724136,5.241379310344827,18.689655172413794,8.241379310344827,0.05061445565059267,50,"(407111.26, 8.24, 1.0, 30664.3, 374934.37, 10)",True,0.7358394944133098,1
15 * est_spoil + travel_to_c + 1.5 * est_lateness - 0.25 * instance['demands'][c],29,1.0,415640.1517241379,415640.1517241379,1442.2758620689656,34289.90344827585,379907.9724137931,5.103448275862069,17.96551724137931,8.275862068965518,0.04942561018055883,49,"(415640.15, 8.28, 1.0, 34289.9, 379907.97, 9)",True,0.770189835146833,1
travel_to_c,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.02354245350278657,4,"(355783.5, 8.24, 1.0, 15691.34, 338798.79, 0)",False,0.43000000000000005,2
2 * travel_to_c + 7 * est_spoil - 0.15 * instance['demands'][c] + 0.05 * remaining,29,1.0,382714.275862069,382714.275862069,1443.0,28261.627586206898,353009.6482758621,5.241379310344827,18.06896551724138,8.241379310344827,0.05105302251618484,54,"(382714.28, 8.24, 1.0, 28261.63, 353009.65, 10)",True,0.6289649091933098,2
3 * est_spoil + travel_to_c + est_lateness - 0.4 * instance['demands'][c],29,1.0,391150.4,391150.4,1458.551724137931,28970.206896551717,360721.64137931034,4.344827586206897,17.275862068965516,8.241379310344827,0.046628705386457775,44,"(391150.4, 8.24, 1.0, 28970.21, 360721.64, 8)",True,0.6569906137021778,2
1.2 * travel_to_c + 8 * est_spoil + 0.6 * est_lateness - 0.05 * instance['demands'][c],29,1.0,391689.93103448284,391689.93103448284,1450.8275862068965,28568.551724137935,361670.5517241379,4.448275862068965,17.448275862068964,8.241379310344827,0.050995604745272934,54,"(391689.93, 8.24, 1.0, 28568.55, 361670.55, 10)",True,0.6607507407945703,2
10 * est_spoil + travel_to_c - 0.25 * instance['demands'][c] + 0.1 * remaining,29,1.0,403886.15862068965,403886.15862068965,1441.5862068965516,33592.16551724138,368852.40689655166,5.620689655172414,17.79310344827586,8.275862068965518,0.049347984379735484,49,"(403886.16, 8.28, 1.0, 33592.17, 368852.41, 9)",True,0.716410471772881,2
1.4 * travel_to_c + 8.5 * est_spoil + 0.7 * est_lateness - 0.04 * instance['demands'][c],29,1.0,369884.324137931,369884.324137931,1455.8620689655172,27912.165517241378,340516.29655172414,4.482758620689655,17.655172413793103,8.241379310344827,0.051440904880392144,54,"(369884.32, 8.24, 1.0, 27912.17, 340516.3, 10)",True,0.5193075892416293,3
2.5 * travel_to_c + 3 * est_spoil + est_lateness - 0.35 * instance['demands'][c],29,1.0,389052.95172413794,389052.95172413794,1413.3793103448277,32453.600000000002,355185.9724137931,4.655172413793103,18.20689655172414,8.275862068965518,0.04771570501656368,49,"(389052.95, 8.28, 1.0, 32453.6, 355185.97, 9)",True,0.6701320598485708,3
0.9 * travel_to_c + 7 * est_spoil + 0.4 * est_lateness - 0.06 * instance['demands'][c],29,1.0,397546.34482758614,397546.34482758614,1432.9310344827586,26053.13103448276,370060.2827586207,4.206896551724138,17.586206896551722,8.275862068965518,0.05132806712183459,54,"(397546.34, 8.28, 1.0, 26053.13, 370060.28, 10)",True,0.7433967710940365,3
10 * est_spoil + travel_to_c - 0.3 * instance['demands'][c] + 0.12 * remaining,29,1.0,403546.71034482756,403546.71034482756,1443.3103448275863,33949.65517241379,368153.74482758617,5.896551724137931,17.862068965517242,8.275862068965518,0.04791520381795949,49,"(403546.71, 8.28, 1.0, 33949.66, 368153.74, 9)",True,0.8547270506717669,3
0.95 * travel_to_c + 10.5 * est_spoil - 0.22 * instance['demands'][c],29,1.0,404036.0,404036.0,1455.1724137931035,33445.76551724138,369135.06206896546,5.413793103448276,18.0,8.275862068965518,0.04573425753363248,43,"(404036.0, 8.28, 1.0, 33445.77, 369135.06, 8)",True,0.868063404877061,3
