expression,num_instances,feasible_rate,avg_cost,avg_runtime_sec,avg_num_routes,complexity,behavior_signature,is_novel,mo_score,round_idx
dist_matrix[current][c],29,1.0,1293.3793103448277,0.02631352687704152,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",True,0.625,0
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.04311917568075246,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",True,0.6242827868852457,0
dist_matrix[current][c] - instance['demands'][c],29,1.0,1371.0,0.03529607016464759,8.172413793103448,35,"(1371.0, 8.17, 1.0, 7)",True,0.6956747658079626,0
dist_matrix[current][c] - 2 * instance['demands'][c],29,1.0,1455.1724137931035,0.03938165204278354,8.172413793103448,40,"(1455.17, 8.17, 1.0, 8)",True,0.8296545667447309,0
dist_matrix[current][c] + instance['demands'][c],29,1.0,1461.655172413793,0.03651625534583782,8.310344827586206,35,"(1461.66, 8.31, 1.0, 7)",True,0.9803571428571429,0
1.2 * dist_matrix[current][c],29,1.0,1293.3793103448277,0.028468493757576777,8.241379310344827,23,"(1293.38, 8.24, 1.0, 4)",True,0.6099999999999998,1
0.8 * dist_matrix[current][c] + dist_matrix[c][instance['depot']],29,1.0,1361.8620689655172,0.04262289507635709,8.172413793103448,46,"(1361.86, 8.17, 1.0, 9)",True,0.5945978013617669,1
(dist_matrix[c][instance['depot']] + dist_matrix[current][c]) * 0.6,29,1.0,1362.896551724138,0.04814655205299114,8.241379310344827,46,"(1362.9, 8.24, 1.0, 9)",True,0.6547605547144857,1
(dist_matrix[current][c] - instance['demands'][c]) * 1.5,29,1.0,1371.0,0.04667421867107523,8.172413793103448,40,"(1371.0, 8.17, 1.0, 8)",True,0.5872119265656873,1
0.5 * instance['demands'][c] + dist_matrix[current][c],29,1.0,1392.9655172413793,0.03952514714208143,8.344827586206897,40,"(1392.97, 8.34, 1.0, 8)",True,0.7406677227550889,1
dist_matrix[current][c] - instance['demands'][c] + dist_matrix[c][instance['depot']],29,1.0,1430.3103448275863,0.04966859981931489,8.172413793103448,57,"(1430.31, 8.17, 1.0, 11)",True,0.6215431187882471,1
(dist_matrix[current][c] + instance['demands'][c]) / 2,29,1.0,1461.655172413793,0.04340367481626313,8.310344827586206,41,"(1461.66, 8.31, 1.0, 8)",True,0.7229451336109283,1
0.5 * instance['demands'][c] + dist_matrix[c][instance['depot']],29,1.0,2776.1724137931033,0.041950809544530406,8.275862068965518,44,"(2776.17, 8.28, 1.0, 8)",True,0.9041675836169287,1
dist_matrix[c][instance['depot']] - 2 * instance['demands'][c],29,1.0,2882.4137931034484,0.04451298713684082,8.172413793103448,44,"(2882.41, 8.17, 1.0, 8)",True,0.8308823529411765,1
0.3 * dist_matrix[c][instance['depot']] + 0.9 * dist_matrix[current][c],29,1.0,1313.3793103448277,0.04555096297428526,8.241379310344827,51,"(1313.38, 8.24, 1.0, 10)",True,0.625,2
(dist_matrix[current][c] - 0.5 * instance['demands'][c]) * 1.2 + 0.3 * dist_matrix[c][instance['depot']],29,1.0,1314.7241379310344,0.061167051052225044,8.172413793103448,72,"(1314.72, 8.17, 1.0, 14)",True,0.5834510741310271,2
0.4 * dist_matrix[c][instance['depot']] + 1.1 * dist_matrix[current][c],29,1.0,1315.7586206896551,0.048601652013844455,8.241379310344827,51,"(1315.76, 8.24, 1.0, 10)",True,0.6278889633227264,2
