expression,num_instances,feasible_rate,avg_cost,avg_runtime_sec,avg_num_routes,complexity,behavior_signature,is_novel,mo_score,round_idx
dist_matrix[current][c],29,1.0,1293.3793103448277,0.02649175709691541,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",True,0.625,0
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.045509182173630286,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",True,0.6242827868852457,0
dist_matrix[current][c] - instance['demands'][c],29,1.0,1371.0,0.036644697189331055,8.172413793103448,35,"(1371.0, 8.17, 1.0, 7)",True,0.6956747658079626,0
dist_matrix[current][c] - 2 * instance['demands'][c],29,1.0,1455.1724137931035,0.041867987862948715,8.172413793103448,40,"(1455.17, 8.17, 1.0, 8)",True,0.8296545667447309,0
dist_matrix[current][c] + instance['demands'][c],29,1.0,1461.655172413793,0.04021287786549535,8.310344827586206,35,"(1461.66, 8.31, 1.0, 7)",True,0.9803571428571429,0
dist_matrix[c][instance['depot']] / (1 + remaining) + dist_matrix[current][c],29,1.0,1274.8275862068965,0.04964688728595602,8.172413793103448,53,"(1274.83, 8.17, 1.0, 10)",True,0.5691176470588236,1
dist_matrix[current][c] - instance['demands'][c] / (1 + remaining),29,1.0,1277.8620689655172,0.046031072221953295,8.172413793103448,47,"(1277.86, 8.17, 1.0, 9)",True,0.563856293812862,1
instance['demands'][c] / (1 + remaining) + dist_matrix[current][c],29,1.0,1288.448275862069,0.04621629879392426,8.241379310344827,47,"(1288.45, 8.24, 1.0, 9)",True,0.6262834311185617,1
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.046809549989371466,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",True,0.5806013791526975,1
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c] - instance['demands'][c] / (1 + remaining),29,1.0,1296.6896551724137,0.06263941731946222,8.172413793103448,74,"(1296.69, 8.17, 1.0, 14)",True,0.625663860103627,1
0.5 * dist_matrix[c][instance['depot']] / (1 + remaining) + dist_matrix[current][c],29,1.0,1274.0,0.05082201957702637,8.172413793103448,58,"(1274.0, 8.17, 1.0, 11)",True,0.6060869565217397,2
2 * dist_matrix[current][c] - dist_matrix[c][instance['depot']] / (1 + remaining),29,1.0,1277.5172413793102,0.05023535366716056,8.241379310344827,58,"(1277.52, 8.24, 1.0, 11)",True,0.6667405010396542,2
(dist_matrix[c][instance['depot']] + instance['demands'][c]) / (1 + remaining) + dist_matrix[current][c],29,1.0,1293.5862068965516,0.06250667572021484,8.241379310344827,69,"(1293.59, 8.24, 1.0, 13)",True,0.6936393459428986,2
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.04517146636699808,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",False,0.5866379619662726,2
0.75 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1332.0689655172414,0.04318192087370774,8.241379310344827,46,"(1332.07, 8.24, 1.0, 9)",True,0.65078989184479,2
0.8 * dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1262.8620689655172,0.051718670746375775,8.172413793103448,51,"(1262.86, 8.17, 1.0, 10)",True,0.55,3
0.4 * dist_matrix[c][instance['depot']] / (1 + remaining) + 1.2 * dist_matrix[current][c],29,1.0,1274.0,0.053927528447118296,8.172413793103448,63,"(1274.0, 8.17, 1.0, 12)",True,0.59127862059278,3
0.5 * instance['demands'][c] / (1 + remaining) + dist_matrix[current][c],29,1.0,1288.448275862069,0.04981184827870336,8.241379310344827,52,"(1288.45, 8.24, 1.0, 10)",True,0.6973855176288799,3
(instance['demands'][c] / (1 + remaining) + 1) * dist_matrix[current][c] + 0.2 * dist_matrix[c][instance['depot']],29,1.0,1324.2758620689656,0.06734020956631365,8.275862068965518,79,"(1324.28, 8.28, 1.0, 15)",True,0.8594518190757131,3
0.3 * dist_matrix[c][instance['depot']] + 0.6 * dist_matrix[current][c],29,1.0,1330.1379310344828,0.04800703607756516,8.172413793103448,51,"(1330.14, 8.17, 1.0, 10)",True,0.6698992133726648,3
